Classification,Sequence
non-amyloid,AAAQAA
non-amyloid,AAELRN
non-amyloid,AAIDWF
non-amyloid,AAIGWG
amyloid,AAIIGQ
non-amyloid,AALQSS
non-amyloid,AAPKPK
non-amyloid,AAQAAL
non-amyloid,AARRFF
amyloid,AATVYV
non-amyloid,AAVDQT
non-amyloid,ACGVIG
non-amyloid,ADVGQG
non-amyloid,ADVSIE
non-amyloid,AEKLFD
non-amyloid,AEMEYL
non-amyloid,AENGKS
non-amyloid,AESDKK
non-amyloid,AETKEP
non-amyloid,AEVLAL
amyloid,AEVVFT
non-amyloid,AFSINP
non-amyloid,AGFQPQ
non-amyloid,AGGYYQ
non-amyloid,AGSGSG
amyloid,AGVNYF
non-amyloid,AGYQQQ
non-amyloid,AIDWFD
non-amyloid,AIGWGS
amyloid,AIIGLM
amyloid,AILSST
non-amyloid,AINKIQ
non-amyloid,AISNNN
amyloid,AIVAGD
amyloid,AIVAGS
amyloid,AIVAGT
non-amyloid,ALALQT
amyloid,ALEEYT
non-amyloid,ALQSSW
non-amyloid,ALQTDA
non-amyloid,AMMAAA
non-amyloid,AMNITN
non-amyloid,ANATKK
amyloid,ANFLVH
non-amyloid,ANNNSN
non-amyloid,ANNYSS
non-amyloid,APKPKK
non-amyloid,AQAALQ
non-amyloid,AQAQPA
amyloid,AQFIIS
non-amyloid,AQIVYK
non-amyloid,AQPAGG
non-amyloid,ASNAGS
non-amyloid,ASQQNQ
non-amyloid,ASRQNQ
amyloid,ASSSNY
non-amyloid,ATAHQY
non-amyloid,ATKKVD
non-amyloid,ATLDQW
non-amyloid,ATTRTV
amyloid,ATVIIE
amyloid,ATVQAF
non-amyloid,ATVSFD
non-amyloid,AVDQTA
amyloid,AVFIIY
non-amyloid,AVTTGV
non-amyloid,AYNAQA
amyloid,CATVYV
amyloid,CGVIGI
amyloid,CILFWG
non-amyloid,CPSGNN
amyloid,CQIVYK
amyloid,CTIYWG
amyloid,CTLWWG
amyloid,CTVFIG
amyloid,CTVWWG
non-amyloid,DADLYL
non-amyloid,DAGYQQ
non-amyloid,DATVYV
amyloid,DCVNIT
non-amyloid,DDSLFF
non-amyloid,DECFFF
non-amyloid,DENNTF
non-amyloid,DETVIV
amyloid,DFNKFH
non-amyloid,DFQKQQ
non-amyloid,DFQKQQ
amyloid,DHCIIG
amyloid,DHCIIW
amyloid,DIDLHL
non-amyloid,DIEVDL
non-amyloid,DILTYT
non-amyloid,DKKEEE
non-amyloid,DLLKNG
non-amyloid,DLTITQ
non-amyloid,DLTQRG
non-amyloid,DNNTIF
amyloid,DQIVYK
non-amyloid,DQTASN
non-amyloid,DQWNGK
non-amyloid,DSNQGN
amyloid,DSVISL
non-amyloid,DTKPAE
amyloid,DTVIIE
non-amyloid,DVGQGS
non-amyloid,DVNRNG
non-amyloid,DVSIED
non-amyloid,EALYLV
non-amyloid,EATVSF
non-amyloid,EATVYV
non-amyloid,ECFFFE
non-amyloid,EDSVIS
non-amyloid,EECLFL
non-amyloid,EEEKSA
non-amyloid,EEKKEE
non-amyloid,EEKPVQ
non-amyloid,EEKSAE
non-amyloid,EEKSEL
non-amyloid,EEPVKK
amyloid,EGVLYV
non-amyloid,EHSDLS
non-amyloid,EKDEYA
non-amyloid,EKKEEK
non-amyloid,EKNLYL
non-amyloid,EKPVQT
non-amyloid,EKSAET
non-amyloid,EKSELP
non-amyloid,ELNIYQ
non-amyloid,ELPKVE
non-amyloid,EMTVKQ
non-amyloid,EPTKVE
non-amyloid,EPTREP
non-amyloid,EPVKKE
amyloid,EQIVYK
non-amyloid,ERGFFY
non-amyloid,ERIEKV
non-amyloid,ESDKKE
non-amyloid,ESNTNN
non-amyloid,ETKEPT
amyloid,ETVIIE
non-amyloid,ETVIVI
non-amyloid,ETWFFG
non-amyloid,EVDLLK
non-amyloid,EVTTGV
non-amyloid,EYLKIA
amyloid,EYSNFS
amyloid,FAIRHF
amyloid,FATVYV
non-amyloid,FERQHM
amyloid,FESNFN
non-amyloid,FFNLNN
non-amyloid,FFWRFM
non-amyloid,FFYTPK
non-amyloid,FGAFSI
non-amyloid,FGELFE
non-amyloid,FGGGNG
non-amyloid,FGNNAT
non-amyloid,FGNQSG
non-amyloid,FGNSAT
non-amyloid,FGNSRG
non-amyloid,FGTFSI
non-amyloid,FHPSDI
non-amyloid,FINYTN
amyloid,FIVNIV
non-amyloid,FKQIGI
non-amyloid,FLKYFT
amyloid,FLVHSS
non-amyloid,FMFFII
non-amyloid,FMFNDL
non-amyloid,FMSNDL
